Titre,Lien,Image,Description
L’OEA exclut toute possibilité d’une « transition dans la transition » et souhaite un accord national,https://lenouvelliste.com/article/246405/loea-exclut-toute-possibilite-dune-transition-dans-la-transition-et-souhaite-un-accord-national,https://media.lenouvelliste.com/articles/2021-08-11/LogoNouvelliste6950_9614.jpg,"La 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti convoquée par la secrétaire générale de l’OIF a été l’occasion de débattre des perspectives pour une sortie de crise. Présent à cette réunion qui s’est tenue au pavillon d’Armenonville de Paris, Cristobal Dupouy, représentant spécial du secrétaire général de l’Organisation des États américains (OEA) en Haïti a présenté l’analyse et les perspectives de l’OEA pour une résolution de la crise en Haïti."
Dans l’attente de la réponse du gouvernement,https://lenouvelliste.com/article/246422/dans-lattente-de-la-reponse-du-gouvernement,,"

Plusieurs départements du pays se sont réveillés en effervescence cette semaine."
"Des annonces et des promesses pour favoriser une sortie de crise en Haïti, lors de la réunion de l’OIF",https://lenouvelliste.com/article/246406/des-annonces-et-des-promesses-pour-favoriser-une-sortie-de-crise-en-haiti-lors-de-la-reunion-de-loif,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0045_1012.jpg,"La 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti de l’Organisation internationale de la francophonie (OIF) s’est tenue le jeudi 18 janvier 2024, à Paris. À l’initiative de la secrétaire générale de l’OIF Louise Mushikiwabo, cette rencontre a rassemblé les représentants des États et gouvernements membres de la Francophonie, dont la ministre de la Justice et de la Sécurité d’Haïti, Emmelie Prophète Milcé."
Pierre Marie Boisson dénonce un tort fait aux bénéficiaires des transferts,https://lenouvelliste.com/article/246377/pierre-marie-boisson-denonce-un-tort-fait-aux-beneficiaires-des-transferts,https://media.lenouvelliste.com/articles/2022-04-11/JMB_8281.jpg,"

Pierre Marie Boisson, économiste de la Sogebank et membre du secteur privé des affaires, est invité à analyser chaque début d’année, à l’émission « Grand rendez-vous économique », animée par Kesner Pharel et diffusée sur radio télé Métropole et sur le Web, la situation de l'économie haïtienne et de l’économie mondiale."
Le MENFP sensibilise à la production de statistiques sur l'éducation,https://lenouvelliste.com/article/246408/le-menfp-sensibilise-a-la-production-de-statistiques-sur-leducation,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0038_1141.jpg,"Le ministère de l’Éducation nationale et de la formation professionnelle (MENFP) de concert avec l’Organisation des Nations unies pour l’éducation, la science et la culture (UNESCO) a procédé à l’ouverture d’un atelier de trois jours sur l’importance des données du système d’information de gestion de l'éducation (SIGE). L’ouverture officielle a eu lieu le mercredi 17 janvier 2024 à l'hôtel Montana en présence du représentant du ministre de l’Éducation nationale, Auguste D’meza et de la représentante de l’UNESCO, Tatiana Villegas-Zamora."
MMAS:  les policiers kenyans complètent leur formation et attendent la décision du tribunal de Nairobi,https://lenouvelliste.com/article/246420/mmas-les-policiers-kenyans-completent-leur-formation-et-attendent-la-decision-du-tribunal-de-nairobi,https://media.lenouvelliste.com/articles/2023-10-25/Screenshot20231024-175315Chrome_3516.jpg,"

Les policiers kényans qui doivent être déployés en Haïti ont terminé leur formation sont prêts à être déployés en Haïti."
Le Collège haïtien de cardiologie appelle à la libération du Dr Douglas Pape,https://lenouvelliste.com/article/246400/le-college-haitien-de-cardiologie-appelle-a-la-liberation-du-dr-douglas-pape,https://media.lenouvelliste.com/articles/2021-08-11/LogoNouvelliste6950_9614.jpg,"Dans une note de presse, le Collège haïtien de cardiologie  appelle à la libération du Dr Douglas Pape enlevé depuis novembre 2023. Malgré trois rançons versées par la famille, la victime n'est toujours pas libérée."
Tifane : « Je suis toujours très engagée dans le monde musical »,https://lenouvelliste.com/article/246416/tifane-je-suis-toujours-tres-engagee-dans-le-monde-musical,https://media.lenouvelliste.com/articles/2024-01-19/C16BE1CC-F520-4221-BAA1-F111455635E3_4167.jpeg,"Si l’on vous parle des titres comme « Sekrè a », de « Bèl Moun » ou encore de « Se kòmsi »… Qui est-ce qui vous vient à l’esprit? Effectivement, c’est bien elle. Tifane. La chanteuse, dont la carrière a été officialisée en 2005, évolue encore dans le monde musical. Bien qu'elle ait été absente des scènes en Haïti pendant de nombreuses années, elle est en revanche présente aux États-Unis, au Canada, en France ou en Afrique. De plus, elle annonce pour bientôt la sortie d’une musique videoclippée suivie d’un nouvel opus, un extended-Play. Ticket vous donne des nouvelles de la « Fanm kreyòl »."
L’OEA exclut toute possibilité d’une « transition dans la transition » et souhaite un accord national,https://lenouvelliste.com/article/246405/loea-exclut-toute-possibilite-dune-transition-dans-la-transition-et-souhaite-un-accord-national,https://media.lenouvelliste.com/articles/2021-08-11/LogoNouvelliste6950_9614.jpg,"La 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti convoquée par la secrétaire générale de l’OIF a été l’occasion de débattre des perspectives pour une sortie de crise. Présent à cette réunion qui s’est tenue au pavillon d’Armenonville de Paris, Cristobal Dupouy, représentant spécial du secrétaire général de l’Organisation des États américains (OEA) en Haïti a présenté l’analyse et les perspectives de l’OEA pour une résolution de la crise en Haïti."
"Attaques armées et images de peyi lòk à Port-au-Prince, manifestations en province",https://lenouvelliste.com/article/246403/attaques-armees-et-images-de-peyi-lok-a-port-au-prince-manifestations-en-province,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0014_8173.jpg,"

Port-au-Prince s’est réveillée sous tension ce jeudi 18 janvier 2024."
"La péninsule du Sud au bord d’une crise humanitaire, témoignage d’un entrepreneur",https://lenouvelliste.com/article/246383/la-peninsule-du-sud-au-bord-dune-crise-humanitaire-temoignage-dun-entrepreneur,https://media.lenouvelliste.com/articles/2021-05-31/logoLeNouvelliste_9479.jpg,La situation de la péninsule du Sud est compliquée depuis quelques années.
Le gouvernement au chevet de la BSAP,https://lenouvelliste.com/article/246384/le-gouvernement-au-chevet-de-la-bsap,https://media.lenouvelliste.com/articles/2024-01-17/IMG0304_2831.jpeg,"La Brigade de sécurité des aires protégées (BSAP) est une structure de l’Agence nationale des aires protégées, une direction générale autonome au ministère de l’Environnement. Depuis plusieurs années, la BSAP sort de son champ d’action de protection des aires protégées pour se transformer en un groupe armé au service de politiques. De 100 agents en 2018, cette structure est passée aujourd’hui à un effectif que même le gouvernement ignore..."
"Pas de discussions réelles en vue de la sortie de crise, le Collectif du 30 janvier dénonce une campagne de propagande du pouvoir",https://lenouvelliste.com/article/246409/pas-de-discussions-reelles-en-vue-de-la-sortie-de-crise-le-collectif-du-30-janvier-denonce-une-campagne-de-propagande-du-pouvoir,https://media.lenouvelliste.com/articles/2024-01-18/Screenshot20240117214504Gallery_9267.jpg,"

À 21 jours du 7 février 2024, date de la transmission du pouvoir à des élus, selon les termes de l’accord du 21 décembre 2022, il n’y a toujours pas d’initiatives concrètes pouvant permettre d’aboutir à un dégel de la crise haïtienne."
Les États-Unis et le BINUH présentent le bilan de leur participation à la réunion de l’OIF,https://lenouvelliste.com/article/246411/les-etats-unis-et-le-binuh-presentent-le-bilan-de-leur-participation-a-la-reunion-de-loif,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0046_6923.jpg,"Des acteurs clés intéressés par la résolution de la crise haïtienne ont participé, le jeudi 18 janvier 2024, à Paris, à la réunion du Comité ad hoc consultatif restreint sur la situation haïtienne convoquée par la secrétaire générale de l’Organisation internationale de la Francophonie (OIF). Lors de cette importante rencontre, plusieurs de ces acteurs ont présenté leur vision de la crise et des mécanismes à mettre en œuvre pour aider les Haïtiens à trouver une issue."
MMAS:  les policiers kenyans complètent leur formation et attendent la décision du tribunal de Nairobi,https://lenouvelliste.com/article/246420/mmas-les-policiers-kenyans-completent-leur-formation-et-attendent-la-decision-du-tribunal-de-nairobi,https://media.lenouvelliste.com/articles/2023-10-25/Screenshot20231024-175315Chrome_3516.jpg,"

Les policiers kényans qui doivent être déployés en Haïti ont terminé leur formation sont prêts à être déployés en Haïti."
Pierre Marie Boisson dénonce un tort fait aux bénéficiaires des transferts,https://lenouvelliste.com/article/246377/pierre-marie-boisson-denonce-un-tort-fait-aux-beneficiaires-des-transferts,https://media.lenouvelliste.com/articles/2022-04-11/JMB_8281.jpg,"

Pierre Marie Boisson, économiste de la Sogebank et membre du secteur privé des affaires, est invité à analyser chaque début d’année, à l’émission « Grand rendez-vous économique », animée par Kesner Pharel et diffusée sur radio télé Métropole et sur le Web, la situation de l'économie haïtienne et de l’économie mondiale."
Le MENFP sensibilise à la production de statistiques sur l'éducation,https://lenouvelliste.com/article/246408/le-menfp-sensibilise-a-la-production-de-statistiques-sur-leducation,https://media.lenouvelliste.com/articles/2024-01-18/IMG-20240118-WA0038_1141.jpg,"Le ministère de l’Éducation nationale et de la formation professionnelle (MENFP) de concert avec l’Organisation des Nations unies pour l’éducation, la science et la culture (UNESCO) a procédé à l’ouverture d’un atelier de trois jours sur l’importance des données du système d’information de gestion de l'éducation (SIGE). L’ouverture officielle a eu lieu le mercredi 17 janvier 2024 à l'hôtel Montana en présence du représentant du ministre de l’Éducation nationale, Auguste D’meza et de la représentante de l’UNESCO, Tatiana Villegas-Zamora."
Basket-ball: les perspectives de la FHB pour 2024,https://lenouvelliste.com/article/246402/basket-ball-les-perspectives-de-la-fhb-pour-2024,https://media.lenouvelliste.com/articles/2024-01-18/fbimg15823815339018539_8068.jpg,"À l'instar de l'année précédente, 2024 s'apprête à être une année assez productive pour la Fédération haïtienne de basketball. En effet, si elle a été l'instance sportive nationale la plus active durant l'année 2023, la FHB compte poursuivre sur cette voie. Elle prévoit de s'y prendre par la réalisation une nouvelle fois de plusieurs formations, l'organisation de divers tournois sur le plan local et la participation des équipes nationales aux tournois internationaux. Un programme qui promet d'être fourni."
Le Congrès américain évite de justesse une paralysie budgétaire du pays,https://lenouvelliste.com/article/246412/le-congres-americain-evite-de-justesse-une-paralysie-budgetaire-du-pays,https://media.lenouvelliste.com/articles/2021-04-26/Congreamericain_7305.jpeg,"

Le Congrès américain a adopté jeudi une mesure très attendue de budget provisoire pour l'Etat fédéral, repoussant ainsi le spectre tant redouté du ""shutdown"", une paralysie budgétaire partielle qui aurait touché plusieurs services non essentiels de l'administration."
Tifane : « Je suis toujours très engagée dans le monde musical »,https://lenouvelliste.com/article/246416/tifane-je-suis-toujours-tres-engagee-dans-le-monde-musical,https://media.lenouvelliste.com/articles/2024-01-19/C16BE1CC-F520-4221-BAA1-F111455635E3_4167.jpeg,"Si l’on vous parle des titres comme « Sekrè a », de « Bèl Moun » ou encore de « Se kòmsi »… Qui est-ce qui vous vient à l’esprit? Effectivement, c’est bien elle. Tifane. La chanteuse, dont la carrière a été officialisée en 2005, évolue encore dans le monde musical. Bien qu'elle ait été absente des scènes en Haïti pendant de nombreuses années, elle est en revanche présente aux États-Unis, au Canada, en France ou en Afrique. De plus, elle annonce pour bientôt la sortie d’une musique videoclippée suivie d’un nouvel opus, un extended-Play. Ticket vous donne des nouvelles de la « Fanm kreyòl »."
Nicolas Delépine: « On est là pour marquer l'histoire »,https://lenouvelliste.com/article/243517/nicolas-delepine-on-est-la-pour-marquer-lhistoire,https://media.lenouvelliste.com/articles/2023-07-21/2023072110101101_828.jpg,"Le sélectionneur national des Grenadières n'a pas caché ses ambitions en conférence de presse d'avant match, vendredi 21 juillet. Nicolas  Delépine a clairement dit qu'il souhaite marquer l'histoire avec les Grenadières en faisant "" une autre première fois "" avec Haïti dans cette phase finale de Coupe du monde."
"Concacaf U17 féminine, Marc Ogé voit Haïti se qualifier pour la Coupe du monde",https://lenouvelliste.com/article/246390/concacaf-u17-feminine-marc-oge-voit-haiti-se-qualifier-pour-la-coupe-du-monde,https://media.lenouvelliste.com/articles/2024-01-17/41935121810101419171539042732378080206819574n_4217.jpg,"C'est un sélectionneur de l'équipe haïtienne féminine des moins de 17 ans plus que confiant qui s'est exprimé avant le départ des petites grenadières, lundi 22 janvier à destination de Toluca (Mexique), en vue de disputer le championnat de la Concacaf qui servira de qualification pour la Coupe du monde de cette catégorie.  "
Le gouvernement au chevet de la BSAP,https://lenouvelliste.com/article/246384/le-gouvernement-au-chevet-de-la-bsap,https://media.lenouvelliste.com/articles/2024-01-17/IMG0304_2831.jpeg,"La Brigade de sécurité des aires protégées (BSAP) est une structure de l’Agence nationale des aires protégées, une direction générale autonome au ministère de l’Environnement. Depuis plusieurs années, la BSAP sort de son champ d’action de protection des aires protégées pour se transformer en un groupe armé au service de politiques. De 100 agents en 2018, cette structure est passée aujourd’hui à un effectif que même le gouvernement ignore..."
Le vent de janvier 2024,https://lenouvelliste.com/article/246398/le-vent-de-janvier-2024,,"

Auteur du fameux roman « Bon Dieu rit », Edris Saint-Amand, ancien syndicaliste, professeur d’université, doyen de l’Institut National d’Administration, de Gestion et des Hautes études internationales (INAGHEI) et ancien diplomate, est aussi l’auteur d’un autre roman :« Le vent de janvier »."
Carrefour-Feuilles: Des familles piégées chez elles après une énième attaque des bandits,https://lenouvelliste.com/article/246394/carrefour-feuilles-des-familles-piegees-chez-elles-apres-une-enieme-attaque-des-bandits,https://media.lenouvelliste.com/articles/2023-09-02/FBIMG1693605946608_3454.jpg,"Les résidents de Carrefour-Feuilles ne sont pas au bout de leur peine. Depuis les dernières attaques du mois d’août 2023, les habitants de ce quartier en périphérie de Port-au-Prince n’ont plus de repos face aux menaces que constituent les bandits du gang de Gran Ravin. Le mercredi 17 janvier 2024, Le Nouvelliste a appris de source sûre, que des dizaines de familles se sont retrouvées prises au piège dans leurs résidences à la rue Laraque et dans les zones avoisinantes."
"La péninsule du Sud au bord d’une crise humanitaire, témoignage d’un entrepreneur",https://lenouvelliste.com/article/246383/la-peninsule-du-sud-au-bord-dune-crise-humanitaire-temoignage-dun-entrepreneur,https://media.lenouvelliste.com/articles/2021-05-31/logoLeNouvelliste_9479.jpg,La situation de la péninsule du Sud est compliquée depuis quelques années.
"L’action des gangs entrave les activités économiques dans le pays, se plaint Manuel Heusch- Desquiron",https://lenouvelliste.com/article/246389/laction-des-gangs-entrave-les-activites-economiques-dans-le-pays-se-plaint-manuel-heusch-desquiron,https://media.lenouvelliste.com/articles/2023-02-09/WhatsAppImage2023-02-09at02_3449.18,Depuis plus d’une semaine le port de Port-au-Prince est bloqué. Il devient quasi impossible de faire sortir les marchandises du port de Port-au-Prince. L’homme d’affaires Manuel Heusch- Desquiron prévoit qu’il y aura une hausse des prix sur le marché local et une pénurie de certains produits.
"L’action des gangs entrave les activités économiques dans le pays, se plaint Manuel Heusch- Desquiron",https://lenouvelliste.com/article/246389/laction-des-gangs-entrave-les-activites-economiques-dans-le-pays-se-plaint-manuel-heusch-desquiron,https://media.lenouvelliste.com/articles/2023-02-09/WhatsAppImage2023-02-09at02_3449.18,Depuis plus d’une semaine le port de Port-au-Prince est bloqué. Il devient quasi impossible de faire sortir les marchandises du port de Port-au-Prince. L’homme d’affaires Manuel Heusch- Desquiron prévoit qu’il y aura une hausse des prix sur le marché local et une pénurie de certains produits.
Brèves précisions de l'IHSI autour de l’agrégat « Produit Intérieur Brut »,https://lenouvelliste.com/article/246374/breves-precisions-de-lihsi-autour-de-lagregat-produit-interieur-brut,https://media.lenouvelliste.com/articles/2021-08-11/LogoNouvelliste6950_9614.jpg,"Suite à la publication intitulée «Les Comptes Economiques en 2023», pour l’édification de ses lecteurs en particulier et du public en général, l’Institut Haïtien de Statistique et d’Informatique (IHSI) croit opportun d’apporter quelques éclaircissements sur le Produit Intérieur Brut (PIB), en tant qu’agrégat macro-économique et de la Comptabilité Nationale, utilisé à travers le monde pour mesurer la performance économique d’un pays."
"L’action des gangs entrave les activités économiques dans le pays, se plaint Manuel Heusch- Desquiron",https://lenouvelliste.com/article/246389/laction-des-gangs-entrave-les-activites-economiques-dans-le-pays-se-plaint-manuel-heusch-desquiron,https://media.lenouvelliste.com/articles/2023-02-09/WhatsAppImage2023-02-09at02_3449.18,Depuis plus d’une semaine le port de Port-au-Prince est bloqué. Il devient quasi impossible de faire sortir les marchandises du port de Port-au-Prince. L’homme d’affaires Manuel Heusch- Desquiron prévoit qu’il y aura une hausse des prix sur le marché local et une pénurie de certains produits.
